duc7.sparql;1203;1196;1192;593;685;595;592;602;604;1233;779;595;591;611;592;602;838;1190;614;596;1194;675;592;593;666;614;593;587;602;1187;591;586;593;1190;593;746;590;599;667;592;1184;605;590;646;676;591;590;680;590;591;702;596;591;593;671;604;601;666;665;593;590;596;588;590;602;1161;598;594;684;677;640;588;590;596;608;591;596;592;588;759;592;590;593;629;594;671;589;594;672;604;617;601;593;588;593;1190;597;1191;677;587;1163;592;1198;1023;587;1037;589;601;613;605;592;594;659;598;921;609;602;591;591;
duc6.sparql;800;280;190;240;136;121;140;336;15576;160;103;153;104;123;149;151;169;148;114;112;114;141;101;107;100;95;118;100;99;141;92;99;103;155;112;167;96;92;93;138;136;94;90;145;144;129;97;97;98;91;99;113;101;96;117;99;91;97;111;95;103;90;126;99;105;147;102;106;109;103;102;97;92;101;136;89;108;92;141;94;116;141;102;111;89;114;95;95;94;94;100;103;106;145;138;97;90;101;95;100;96;143;99;103;185;102;94;
vd7.sparql;887;871;846;
vf2b.sparql;2167;2256;2885;2162;
vd6.sparql;43;33;31;21;19;
dsv5b.sparql;6356;6218;5860;5514;5481;
vf3b.sparql;1725;1827;1597;1613;2014;
sd1.sparql;62;10;11;9;
dv1.sparql;23;8;5;5;
duc1.sparql;308;16;17;12;10;10;10;10;15;8;14;20;13;11;11;9;8;8;24;9;6;49;8;7;11;9;8;8;5;7;7;9;7;12;7;7;8;7;10;7;8;7;7;7;10;6;5;6;8;7;7;10;7;7;8;9;5;8;9;5;7;5;6;7;6;5;5;6;5;5;5;5;7;5;7;6;6;10;8;6;7;9;6;7;6;8;5;6;5;8;6;6;8;6;7;7;6;5;5;5;6;5;5;6;4;5;4;4;6;5;9;8;5;6;6;5;6;13;4;
vd2.sparql;1105;1064;1030;644;635;641;941;653;673;
vd3.sparql;148;45;31;
vd5.sparql;977;651;575;586;608;583;583;
vd1.sparql;45;12;10;11;10;
vf2.sparql;5797;3883;3904;4096;4265;
vf3.sparql;4066;4071;4060;4044;4075;4352;
duc2.sparql;2492;585;1142;932;897;1208;590;653;567;581;612;569;564;578;1149;575;561;583;659;638;642;594;575;1141;582;569;637;1123;565;567;558;572;561;573;652;558;557;562;588;560;560;580;558;566;566;569;556;1156;568;894;696;1157;571;594;604;631;590;557;582;929;591;556;559;662;563;560;1148;570;577;591;573;561;563;572;562;1151;561;838;564;583;582;563;563;562;562;735;557;575;565;1154;635;590;557;651;565;562;1163;567;573;587;846;648;589;572;567;590;564;562;564;564;1151;569;566;561;1148;937;557;562;1147;592;567;561;622;566;564;563;567;642;
duc5.sparql;2273;1167;865;563;520;520;1038;541;973;964;949;543;624;683;971;525;522;583;527;555;925;583;519;609;511;511;969;522;965;518;956;561;957;526;522;520;513;521;523;534;539;720;575;533;529;523;523;518;521;961;513;517;533;534;543;528;531;589;519;534;931;607;950;529;538;955;571;523;522;528;532;954;527;511;523;515;535;519;516;511;533;534;945;522;678;512;531;952;521;537;956;518;557;521;539;523;962;543;960;539;971;532;889;603;583;517;
duc3.sparql;379;59;65;44;39;39;41;33;40;36;37;27;58;59;34;44;35;37;33;89;51;30;33;34;36;28;22;30;26;28;22;24;43;23;23;30;28;22;31;25;29;24;24;35;21;35;22;33;39;33;26;25;33;33;21;20;27;21;29;29;29;21;33;21;34;22;33;23;25;20;20;31;27;38;20;35;31;31;24;30;31;33;25;26;24;30;24;27;28;33;27;33;23;26;19;27;38;28;20;20;22;20;30;20;20;20;31;24;21;21;21;26;53;31;32;22;24;27;33;
duc4.sparql;531;430;359;201;293;307;186;236;166;244;171;172;189;181;310;279;263;169;166;303;327;227;181;199;168;163;257;169;164;164;164;162;167;176;162;172;174;163;301;331;167;163;164;164;169;314;162;172;164;166;192;175;188;170;186;175;186;282;300;168;300;169;182;192;167;165;220;169;162;229;160;242;168;162;169;172;168;181;168;168;163;162;298;176;171;172;295;169;163;169;
vf4.sparql;3074;1962;2245;1839;1849;1851;1886;2199;1865;
sd3.sparql;
sd2.sparql;30;9;11;11;8;
dp3.sparql;53;13;10;
dsv2.sparql;102;10;12;12;
qd4.sparql;966;904;971;
qd3.sparql;692;671;933;1018;
dsv1.sparql;
dsv4.sparql;8215;2856;2900;4396;
dsv3.sparql;57;4;5;
qd1.sparql;87;41;71;37;
qd2.sparql;1200;417;438;663;432;
qd5.sparql;430;470;402;626;389;
qd6.sparql;1032;1016;1018;1019;1014;1016;
dsv5.sparql;5609;3317;3257;3284;3402;4146;4992;4296;3394;
dsv6.sparql;1823;531;526;537;521;
dp1.sparql;55;5;5;5;5;3;5;
dp2.sparql;97;38;9;150;7;8;
dp4.sparql;200;
