query_name;avg_time;max_time;min_time;total_no
duc7.sparql;626;1175;576;15
duc6.sparql;113;151;87;21
vd7.sparql;932;1374;835;25
vf2b.sparql;2700;4320;2117;17
vd6.sparql;31;95;18;25
vf3b.sparql;2300;9699;1561;16
dsv5b.sparql;6201;9024;5320;21
sd1.sparql;14;65;8;26
dv1.sparql;7;60;4;27
duc1.sparql;21;235;5;20
vd3.sparql;55;495;26;37
vd5.sparql;675;1179;574;31
vd2.sparql;756;1023;611;32
vd1.sparql;11;35;7;36
vf2.sparql;4389;5969;3870;17
vf3.sparql;3965;5671;3639;22
duc5.sparql;711;1935;517;21
duc4.sparql;215;449;160;26
duc3.sparql;29;94;21;16
duc2.sparql;684;1141;552;20
vf4.sparql;2026;3171;1815;15
sd3.sparql;16;70;7;33
sd2.sparql;20;214;7;26
dp3.sparql;15;77;8;24
qd3.sparql;738;1110;647;29
qd4.sparql;955;1082;888;26
dsv1.sparql;7;59;3;26
dsv2.sparql;48;526;7;16
dsv4.sparql;3429;6822;2692;15
dsv3.sparql;6;42;3;21
qd1.sparql;35;232;18;42
qd5.sparql;474;867;379;24
qd2.sparql;519;898;413;38
qd6.sparql;1021;1089;1012;28
dsv5.sparql;3513;5474;3113;24
dsv6.sparql;685;2362;482;19
dp1.sparql;7;76;3;37
dp2.sparql;73;1852;7;30
dp4.sparql;16;55;9;31
