qd2.sql;2;3;3;2;1;3;2;2;3;1;3
vf4.sql;580;7;5;10;10;10;8;12;9;11;10
vd7.sql;416;13;16;9;14;9;14;14;14;14;8
sd2.sql;148;153;157;166;155;145;156;157;159;199
dp4.sql;315;5;5;2;3;2;3;3;3;3;3;2;3
duc6.sql;4888;159;115;166;165;160
qd3.sql;16;9;7;7;4;4;3;7;6;3;6;5;6
vd3.sql;28;4;4;3;3;2;2;1;3;2;3;3;2;1;3;3;2
dsv3.sql;27;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;1;2;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1
dp1.sql;2;1;1;1;1;0;1;1;1
qd1.sql;1;2;2;2;5;2;1;2;1;1;1;1;2;2
sd3.sql;64;76;62;77;67;74;72;71;58;77;63;99
vf2b.sql;790;896;886;887;874;879;883;901;875;880;875
duc2.sql;91;60;57;35;54;57;56;35;67;40
vf3b.sql;43;16;16;17;15;17;16;13;13;14;16;16;15
duc7.sql;264;73;66;81;96;60;67;74;50;72;66;47;69;68;47;75;70;70
qd4.sql;17;1;1;3;2;1;1;1;1;1;2;1;1;2;2;1;1;1
dsv4.sql;2493;829;848;823;800;805;820;819;842;837;825;818;783;785;771;771;1411;842;842;859;822;972;842;839;798;807;843;831;830;840;853;844;841;850;853;841;841;856;838;802;824;821;840;849;855;921;843;814;842;840;843;1082;877;850;847;828;839;841;849;848;865;845;855;842;852;854;843;828;851;844;841;860;869;848;863;850;884;861;850;782;807;806;815;808;815;820;829;813;854;849;783;813;832;845;832;833;783;965;850;842
dsv6.sql;1720;163;117;170;117;118;118;119;119;118;147;127;117;118;118;216;125;126;118;123;121;118;217;217;126;194;124;127;126;121;119;126;117;119;116;124;124;118;117;117;123;125;123;125;118;122;119;119;116;122;121;118;129;219;117;119;119;119;123;117;116;124;122;126;120;120;118;118;119;124;117;119;118;116;117;117;209;125;124;119;126;119;212;125;125;126;118;115;119;118;125;119;217;118
vd5.sql;1291;6;8;11;9;5;6;9;9;9;9
duc3.sql;219;52;66;56;58;49;79
dp2.sql;2;1;2;2;1;2;1;2;1;1;1;2;1;1;1
qd5.sql;12;2;1;1;2;2;2;2;2
vf2.sql;58862;597;598;601;604;598;601;613;594;613;599;616;618;604;615;603;605
dv1.sql;1;0;1;1;5;0;0;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1
dsv1.sql;82;10;5;5;5;4;5;6;5;7;5;12;5;4;5;5;5;4;5;4;6;5;5;5;5;5;6;5;5;14;5;6;4;4;5;5;4;5;4;5;6;4;7;4;5;5;5;4;5;4;4;5;7;5;3;3;5;5;4;5;5;4;4;4;5;4;12;6;4;5;5;4;5;4;5;5;5;7;5;4;4;5;4;4;6;4;7;6;5;4;5;6;4;5;5;5;5;4;4;4;4;5;4;12;4;6;5;5;7
vd1.sql;1;1;1;0;1;0;1;1;1;1;1;0;1;1;1;0
vf3.sql;14;18;18;18;7;15;18;15
duc4.sql;229;94;142;106;104;111;116;101;100;101;114
dp3.sql;18;3;5;3;4;1;4;3;2;4;3;3
qd6.sql;240;4;6;4;3;3;5;7;7
duc1.sql;78;2;2;2;3;2;2;1;2;2;3;3;3;3;3;2;3;3
sd1.sql;1310;154;157;210;158;152;154;153;163
vd6.sql;57;68;56;64;77;74;72;70;73;72;69
duc5.sql;2257;94;117;109;85;109;113;106;109;107;108;91;129
dsv2.sql;190;23;9;2;3;2;3;3;2;2;4;4;3;3;3;4;4;3;3;5;4;3;3;2;3;3;2;3;4;3;3;3;3;3;3;2;3;3;3;4;2;3;3;2;2;3;3;3;4;4;3;3;2;3;4;3;3;3;3;2;3;2;2;2;3;3;3;3;4;3;2;3;3;4;3;4;3;4;3;3;3;3;2;2;3;2;2;4;4;4
vd2.sql;7;8;5;3;7;4;7;7;5;2;6;2;2;2;8;2;6;6;5
