duc6.cy;22616;81;62;57;69;56;53;78;55;65;60;65;55;49;62;55;57;77;69;75;51;52;55;56;57
duc4.cy;266;97;83;82;106;82;75;108;80;107;79;74;82;81;90;84;80;107;78;101;79;73;95;75;74
duc2.cy;12494;51;44;52;49;41;41;51;40;55;39;34;42;50;37;40;36;46;34;35;38;33;45;40;49
dsv5b.cy;13;7;4;4;9;6;6;3;4;3;4;4;3;4;4;3;3;4;4;3;4;3;3;3;4
qd3.cy;471;33;25;22;20;16;17;20;19;15;12;15;13;16;14;13;13;19;13;13;12;12;13;13;13
vd5.cy;179;5;4;4;5;5;4;6;4;7;4;5;4;5;6;4;6;5;4;4;4;4;4;3;3
vd3.cy;102;5;4;4;5;5;4;13;4;6;4;4;3;4;5;4;5;4;3;4;4;4;4;4;4
qd1.cy;142;6;5;3;5;3;4;5;5;4;3;4;3;3;3;3;4;4;5;5;3;3;3;3;3
vd7.cy;588;13;9;9;10;9;8;9;8;12;7;10;10;8;8;8;9;8;7;8;8;6;9;6;7
qd5.cy;163;6;10;6;6;6;5;7;7;6;8;6;8;12;6;5;5;9;5;6;4;5;8;7;5
vf3.cy;489;6;5;5;6;6;7;9;4;8;4;6;5;7;5;5;5;7;5;5;4;4;5;4;4
dsv5.cy;51;6;5;4;7;5;6;4;6;4;4;4;4;4;4;4;4;5;5;4;4;5;3;4;4
vd2.cy;144;14;12;9;14;10;9;16;8;10;8;9;8;7;11;7;8;10;7;7;8;7;7;6;6
sd2.cy;127;55;61;50;59;61;42;61;44;62;48;42;45;58;43;49;42;48;43;62;42;44;42;44;43
dp2.cy;495;6;7;4;5;5;5;5;6;3;4;4;7;4;4;3;3;3;6;4;4;3;3;5;4
dsv1.cy;9270;237;101;103;92;119;94;119;144;87;133;92;89;94;83;101;90;86;119;89;116;94;84;83;82
dp4.cy;297;10;5;5;6;6;4;4;5;4;4;4;4;3;4;3;4;5;5;4;5;4;4;4;5
dsv3.cy;52;4;5;4;3;3;4;3;4;3;4;4;3;4;3;9;3;4;3;3;4;4;3;3;3
duc7.cy;105;42;39;38;37;30;27;40;31;33;33;31;31;39;33;26;28;43;26;28;26;26;32;31;38
dv1.cy;30;6;4;4;6;6;4;5;7;4;3;4;4;3;4;4;6;5;6;5;3;4;4;4;4
vf2b.cy;8;7;7;5;7;4;6;6;4;5;5;7;4;4;4;4;4;6;4;4;3;3;4;3;3
duc3.cy;402;102;79;99;132;79;77;111;79;129;78;76;98;79;81;73;74;152;84;76;77;72;98;78;73
duc5.cy;656;97;91;97;118;90;104;118;90;109;88;82;83;81;94;82;90;127;81;87;87;81;87;112;97
duc1.cy;23;6;6;5;4;5;4;6;5;6;5;5;5;4;5;5;6;5;5;4;4;4;4;4;4
qd2.cy;196;4;5;3;6;4;4;5;5;5;4;3;4;3;4;3;3;4;3;4;4;3;3;4;4
vd6.cy;149;53;41;53;53;59;39;55;40;60;40;43;43;44;41;39;44;51;39;53;38;40;43;38;44
vf3b.cy;9;5;6;6;6;6;12;5;4;5;4;4;5;5;6;4;4;7;4;4;4;4;6;4;4
qd4.cy;382;6;12;6;5;5;8;5;5;8;5;7;4;5;5;4;4;6;4;3;4;4;4;5;15
qd6.cy;335;6;6;5;5;6;4;6;6;5;4;5;4;5;5;4;4;5;4;7;3;4;4;4;4
dsv6.cy;49499;11856;15219;11105;11796;11817;11011;12145;11235;16005;11274;10641;11191;11219;11503;11718;10706;11419;11636;11761;11717;10606;16495;11635;11377
sd1.cy;205;70;80;66;73;68;54;75;73;73;66;56;49;58;56;56;66;61;61;72;56;52;50;48;52
vf4.cy;280;7;6;6;6;8;8;6;5;6;4;4;5;4;5;5;5;24;6;5;5;4;5;5;5
vf2.cy;13747;154;93;79;102;85;73;104;73;92;85;80;82;83;78;72;73;104;85;72;76;72;84;79;72
dsv4.cy;23068;7587;6295;5448;8282;7376;7371;6925;7765;6215;7326;5468;8395;7245;6126;5888;7367;5816;7466;7470;5816;5540;7655;5856;5842
sd3.cy;121;65;87;71;82;66;67;83;60;76;62;78;66;83;71;68;60;69;68;68;69;84;63;59;66
vd1.cy;40;6;6;6;8;5;5;7;5;6;5;5;5;5;6;5;4;6;4;5;6;4;4;4;5
dp1.cy;3069;6;9;4;4;5;4;5;5;4;5;3;3;4;3;4;3;4;5;3;3;3;3;5;3
dp3.cy;1007;5;4;4;4;5;5;4;6;4;4;4;4;3;4;3;4;4;4;4;4;3;4;4;5
dsv2.cy;2939;267;258;227;231;341;226;241;336;232;364;233;223;229;226;291;232;232;392;227;238;235;228;237;334
